,No,IP,EA,BG,smiles
0,C81.8,4.8920859000000005,3.3846519,1.5074340000000002,c12c(cc3c(c1)c1c(cc3)cccc1)c(c1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cccc2)C#N
1,C853,4.8711342,2.8537848,2.0173494000000005,c1cc2c(cc1)cc1cc3cc4c(ccc5c4c4c(c6ccccc6cc4cc5)C#N)cc3cc1c2
2,C7188,6.0044307,2.2048263,3.7996044,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(c3cc(ccc23)C#N)c2c(cccc2)cc1
3,C876,5.412069,2.5909362,2.8211328,c1cc2cc3c(cc2cc1)c1c(c2c(cc1cc3)c1cc3cc4c(cccc4)cc3cc1cc2)C#N
4,C81.12,4.8183468,3.2869680000000003,1.5313787999999997,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)c(ccc2)C#N
5,C736,5.159016,2.9696994,2.1893166,c1cc2c(cc1)cc1cc3cc4c(c(cc5c4ccc4c5cccc4)C#N)cc3cc1c2
6,C71.4,4.9696344,3.0782673,1.8913671,c12c(cc3c(c1)c1c(cc3)c(ccc1)C#N)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
7,C823,5.010721500000001,3.1305105,1.8802110000000003,c1cc2cc3c(cc2cc1)cc1cc2c(c4c(ccc5c4cc4ccccc4c5)cc2cc1c3)C#N
8,C7146,5.6458029000000005,2.6899806,2.9558223000000003,c1cc2cc3c4ccccc4c4c5cc6c(cccc6)c(c5ccc4c3cc2cc1)C#N
9,C798,5.420776200000001,2.8306563,2.5901199000000004,c1cc2c(cc1)cc1cc3c(cc(c4c3c3ccccc3c3c4cccc3)C#N)cc1c2
10,C743,5.3892126000000005,2.9367753,2.4524373000000006,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(c3cc4ccccc4cc3cc2cc1)C#N
11,C857,5.1092217,3.0350034,2.0742183,c1cc2c(cc1)cc1cc3cc4c(c(cc5c4c4cc6ccccc6cc4cc5)C#N)cc3cc1c2
12,C882,5.5307046,2.6981436,2.832561,c1cc2cc3c(c(c2cc1)C#N)c1c(cc3)c2c(cc1)cc1c(ccc3c1ccc1c3cccc1)c2
13,C8114,5.6232186,2.7084834,2.9147352000000004,c1cc2c(cc1)c1c(cc2)c2cc3cc4c5ccccc5c5ccccc5c4cc3cc2cc1C#N
14,C722,5.338602000000001,3.0540504000000004,2.2845516000000003,c1cc2cc3c(cc2cc1)c1cc2cc4c(c5ccccc5cc4cc2cc1cc3)C#N
15,C7137,5.583764100000001,2.5049526,3.0788115,c1cc2c(cc1)cc1c(ccc3c1ccc1c3cc3c(c(cc4ccccc34)C#N)c1)c2
16,C747,5.3951988,2.848887,2.5463118,c1cc2cc3c(cc2cc1)c1c(cc3)c2cc3cc4ccccc4cc3cc2c(c1)C#N
17,C771,5.5339698,2.8246701,2.7092997000000003,c1cc2c(cc1C#N)cc1cc3c(ccc4c3ccc3c4c4c(cccc4)cc3)cc1c2
18,C7144,5.553561,2.6785524,2.8750086,c1cc2cc3c4ccccc4c4c5c(c6c(cccc6)cc5ccc4c3cc2cc1)C#N
19,C793,5.4199599,2.8790901,2.5408698000000003,c1cc2c(cc1)cc1c(c3c(ccc4c3c3ccccc3c3c4cccc3)cc1c2)C#N
20,C8118,5.531793,2.5441350000000003,2.987658,c1cc2c(cc1)c1c(cc2)c2cc3cc4c5cc(ccc5c5ccccc5c4cc3cc2cc1)C#N
21,C8146,5.232483,2.8154187000000004,2.4170643,c1cc2cc3c(c4c(cc3cc2cc1)c1cc2cc3cc5c(cccc5)cc3cc2cc1cc4)C#N
22,C8145,5.1949332,2.7759642,2.418969,c1cc2cc3cc4c(cc3cc2cc1C#N)c1cc2cc3cc5c(cccc5)cc3cc2cc1cc4
