,No,IP,EA,BG,smiles
0,2N44_1,6.5513517000000006,3.2790771000000003,3.2722746000000003,c1cc2c(cc1N(=O)=O)cc1c(ccc3c1cccc3N(=O)=O)c2
1,2N44_10,6.4694496,3.3944475,3.0750021000000003,c1cc2c(c(N(=O)=O)c1N(=O)=O)cc1c(ccc3c1cccc3)c2
2,2N44_2,6.571487100000001,3.1381293,3.4333578000000005,c1(N(=O)=O)cc2c(cc1N(=O)=O)cc1c(ccc3c1cccc3)c2
3,2N44_3,6.4694496,3.3944475,3.0750021000000003,c1cc2c(c(N(=O)=O)c1N(=O)=O)cc1c(ccc3c1cccc3)c2
4,2N44_4,6.5695824,3.4279158000000005,3.1416666,c1c(N(=O)=O)c2c(cc1)cc1c(ccc3c1cc(N(=O)=O)cc3)c2
5,2N44_5,6.6444099,3.5011107000000004,3.1432991999999995,c1cc2c(cc1N(=O)=O)cc1c(cc(N(=O)=O)c3c1cccc3)c2
6,2N44_6,6.5401956,3.3114570000000003,3.2287386,c1cc2c(c(N(=O)=O)c1)cc1c(c(N(=O)=O)cc3c1cccc3)c2
7,2N44_7,6.5235975,3.1854747,3.3381228,c1c(N(=O)=O)c2c(cc1)cc1c(c(N(=O)=O)cc3c1cccc3)c2
8,2N44_8,6.5878131,3.3993453,3.1884678,c1c(N(=O)=O)c2c(cc1)cc1c(cc(N(=O)=O)c3c1cccc3)c2
9,2N44_9,6.4664565000000005,3.3261504,3.1403061,c1cc2c(cc1)cc1c(c(N(=O)=O)cc3c1ccc(N(=O)=O)c3)c2
10,2N45_1,6.0909585,3.5917200000000005,2.4992385,c1cc2cc3cc4c(ccc(N(=O)=O)c4)c(N(=O)=O)c3cc2cc1
11,2N45_10,5.9924583,3.4785264,2.5139319,c1c(N(=O)=O)c2cc3cc4c(cccc4N(=O)=O)cc3cc2cc1
12,2N45_2,6.105651900000001,3.5783871,2.5272648000000006,c1cc2cc3cc4c(cc(N(=O)=O)cc4)cc3c(N(=O)=O)c2cc1
13,2N45_3,5.985655800000001,3.5538981,2.4317577000000004,c1cc2cc3cc4c(cccc4N(=O)=O)c(N(=O)=O)c3cc2cc1
14,2N45_4,6.0389874,3.6208347,2.4181527000000003,c1c(N(=O)=O)c2cc3cc4c(c(N(=O)=O)ccc4)cc3cc2cc1
15,2N45_5,6.0403479,3.5266881000000003,2.5136598,c1cc2cc3cc4c(cccc4N(=O)=O)cc3c(N(=O)=O)c2cc1
16,2N45_6,6.1119102,3.5615169000000004,2.5503933,c1(N(=O)=O)cc2cc3cc4c(cccc4)c(N(=O)=O)c3cc2cc1
